Timestamp,City,Location,Bedrooms,Type_of_Residency,Rent,Deposit_Amount,Furnished,Area_Rating,Cleanliness_Rating,Amenities,Proximity_to_Public_Transport,Property_Condition,Famous_Places_Nearby
02-02-2025,outside Pune,sainagar,2BHK,Hostels,17000,20000,Furnished,2,2,"Parking, Balcony, Security, Elevator",Very Close,3,mahabaleshwar
02-02-2025,Pune,Backgate,2BHK,Apartment,15500,30000,Furnished,5,5,"Parking, Gym, Balcony, Garden, Security, Elevator",Nearby,5,Katraj zoo
03-02-2025,Pune,Iskcon ,1BHK,Apartment,2500,4000,Furnished,2,2,"Parking, Balcony, Security",Nearby,3,Viit clg
02-02-2025,Pune,Sainagar ,1BHK,Apartment,10000,15000,Furnished,4,3,"Gym, Balcony, Security",Nearby,2,Teamo 
02-02-2025,outside Pune,Bibwewadi,2BHK,Hostels,4000,10000,Furnished,5,5,"Parking, Gym, Balcony, Garden",Very Close,5,Viit clg
02-02-2025,Pune,Bibwewadi,2BHK,Apartment,14000,15000,Unfurnished,3,3,"Parking, Balcony",Nearby,3,Vit
02-02-2025,Pune,Kondhwa,3BHK,Apartment,15000,20000,Furnished,4,5,"Balcony, Security, Elevator",Nearby,4,
02-02-2025,Pune,Lakshminagar,1BHK,Apartment,20000,25000,Unfurnished,1,1,Parking,Nearby,1,Hydrabad biryani
02-02-2025,Pune,Backgate ,1BHK,Hostels,5000,10000,Furnished,5,5,"Parking, Balcony, Garden, Security",Very Close,5,Masquid 
03-02-2025,Pune,Backgate,1BHK,Hostels,8000,5000,Furnished,3,3,,Nearby,3,Ws bakery 
03-02-2025,Pune,Pict,1BHK,Apartment,12000,15000,Furnished,3,4,"Parking, Balcony",Nearby,3,Pict college 
03-02-2025,Pune,Tilekarnagae,3BHK,Apartment,30000,60000,Furnished,5,5,"Parking, Gym, Balcony, Garden, Security, Elevator",Very Close,5,Swami Narayan temple 
02-02-2025,Pune,sainagar,2BHK,Apartment,23000,15000,Furnished,4,4,"Parking, Balcony",Very Close,4,iskon katraj
03-02-2025,Pune,Sainagar,2BHK,Row houses,6000,17000,Furnished,3,3,"Balcony, Garden, Elevator",Nearby,2,Teamo
03-02-2025,Pune,Tilekarnagar,2BHK,Apartment,6000,10000,Furnished,5,5,"Parking, Balcony, Garden, Security, Elevator",Very Close,5,3 jewels 
03-02-2025,Pune,Sukhsagarnagar ,1BHK,Apartment,10500,20000,Furnished,5,5,"Parking, Gym, Balcony, Garden, Security, Elevator",Nearby,5,Vit clg
03-02-2025,Pune,backgate,1RK,Apartment,12000,5000,Unfurnished,3,3,Parking,Nearby,4,viit
03-02-2025,Pune,Sai Nagar ,2BHK,Apartment,15000,20000,Furnished,4,4,,Nearby,4,Salve garden 
03-02-2025,Pune,kapil nagar,2BHK,Bungalows,30000,0,Furnished,5,5,"Parking, Balcony, Garden, Security, Elevator",Nearby,4,none
03-02-2025,Pune,Sainagar,1RK,Apartment,10000,10000,Furnished,5,3,"Parking, Balcony, Garden, Security, Elevator",far,2,Gokul Restaurant 
02-02-2025,Pune,sukhsagar,1BHK,Apartment,16000,15000,Unfurnished,1,3,,Nearby,3,None
04-02-2025,outside Pune,sainagar,1RK,Hostels,5000,0,Unfurnished,5,5,Security,Very Close,3,Viit
04-02-2025,Pune,Sukhsagarnagar,3BHK,Row houses,30000,60000,Furnished,3,5,"Parking, Balcony, Garden",far,5,Ambamata Mandir
04-02-2025,Pune,Katraj ,1BHK,Bungalows,20000,50000,Furnished,3,5,"Parking, Balcony, Garden",Very Close,5,Katraj diary 
04-02-2025,Pune,Backgate,3BHK,Apartment,20000,40000,Furnished,2,2,"Parking, Balcony, Elevator",far,1,Viit 
02-06-2025,Pune,Backgate,3BHK,Apartment,4500,4000,Furnished,3,1,"Parking, Balcony, Security, Elevator",far,5,viit clg
02-06-2025,outside Pune,Backgate,2BHK,Apartment,3200,5000,Unfurnished,3,3,"Parking, Balcony",far,2,Royal medical 
02-02-2025,Pune,Backgate ,3BHK,Apartment,3000,5000,Unfurnished,3,3,"Parking, Balcony",Nearby,3,Kondhwa
02-02-2025,Pune,Kondhwa,1BHK,Hostels,5835/-,10000,Unfurnished,5,1,,far,3,"VU, VCACS, VIIT"
02-02-2025,Pune,Tilekar ,1BHK,Apartment,11000,22000,Unfurnished,4,3,"Parking, Balcony, Garden",Nearby,4,Iskon
02-02-2025,Pune,Sainagar,1BHK,Apartment,9500,20000,Furnished,5,5,"Parking, Balcony, Garden, Security, Elevator",Very Close,5,Iskcon 
02-02-2025,outside Pune,sainagar,2BHK,Hostels,17000,20000,Furnished,2,2,"Parking, Balcony, Security, Elevator",Very Close,3,mahabaleshwar
02-02-2025,Pune,Backgate,2BHK,Apartment,15500,30000,Furnished,5,5,"Parking, Gym, Balcony, Garden, Security, Elevator",Nearby,5,Katraj zoo
03-02-2025,Pune,Iskcon ,1BHK,Apartment,2500,4000,Furnished,2,2,"Parking, Balcony, Security",Nearby,3,Viit clg
02-02-2025,Pune,Sainagar ,1BHK,Apartment,10000,15000,Furnished,4,3,"Gym, Balcony, Security",Nearby,2,Teamo 
02-02-2025,outside Pune,Bibwewadi,2BHK,Hostels,4000,10000,Furnished,5,5,"Parking, Gym, Balcony, Garden",Very Close,5,Viit clg
02-02-2025,Pune,Bibwewadi,2BHK,Apartment,14000,15000,Unfurnished,3,3,"Parking, Balcony",Nearby,3,Vit
02-02-2025,Pune,Kondhwa,3BHK,Apartment,15000,20000,Furnished,4,5,"Balcony, Security, Elevator",Nearby,4,
02-02-2025,Pune,Lakshminagar,1BHK,Apartment,20000,25000,Unfurnished,1,1,Parking,Nearby,1,Hydrabad biryani
02-02-2025,Pune,Backgate ,1BHK,Hostels,5000,10000,Furnished,5,5,"Parking, Balcony, Garden, Security",Very Close,5,Masquid 
03-02-2025,Pune,Backgate,1BHK,Hostels,8000,5000,Furnished,3,3,,Nearby,3,Ws bakery 
03-02-2025,Pune,Pict,1BHK,Apartment,12000,15000,Furnished,3,4,"Parking, Balcony",Nearby,3,Pict college 
03-02-2025,Pune,Tilekarnagae,3BHK,Apartment,30000,60000,Furnished,5,5,"Parking, Gym, Balcony, Garden, Security, Elevator",Very Close,5,Swami Narayan temple 
02-02-2025,Pune,sainagar,2BHK,Apartment,23000,15000,Furnished,4,4,"Parking, Balcony",Very Close,4,iskon katraj
03-02-2025,Pune,Sainagar,2BHK,Row houses,6000,17000,Furnished,3,3,"Balcony, Garden, Elevator",Nearby,2,Teamo
03-02-2025,Pune,Tilekarnagar,2BHK,Apartment,6000,10000,Furnished,5,5,"Parking, Balcony, Garden, Security, Elevator",Very Close,5,3 jewels 
03-02-2025,Pune,Sukhsagarnagar ,1BHK,Apartment,10500,20000,Furnished,5,5,"Parking, Gym, Balcony, Garden, Security, Elevator",Nearby,5,Vit clg
03-02-2025,Pune,backgate,1RK,Apartment,12000,5000,Unfurnished,3,3,Parking,Nearby,4,viit
03-02-2025,Pune,Sai Nagar ,2BHK,Apartment,15000,20000,Furnished,4,4,,Nearby,4,Salve garden 
03-02-2025,Pune,kapil nagar,2BHK,Bungalows,30000,0,Furnished,5,5,"Parking, Balcony, Garden, Security, Elevator",Nearby,4,none
03-02-2025,Pune,Sainagar,1RK,Apartment,10000,10000,Furnished,5,3,"Parking, Balcony, Garden, Security, Elevator",far,2,Gokul Restaurant 
02-02-2025,Pune,sukhsagar,1BHK,Apartment,16000,15000,Unfurnished,1,3,,Nearby,3,None
04-02-2025,outside Pune,sainagar,1RK,Hostels,5000,0,Unfurnished,5,5,Security,Very Close,3,Viit
04-02-2025,Pune,Sukhsagarnagar,3BHK,Row houses,30000,60000,Furnished,3,5,"Parking, Balcony, Garden",far,5,Ambamata Mandir
04-02-2025,Pune,Katraj ,1BHK,Bungalows,20000,50000,Furnished,3,5,"Parking, Balcony, Garden",Very Close,5,Katraj diary 
04-02-2025,Pune,Backgate,3BHK,Apartment,20000,40000,Furnished,2,2,"Parking, Balcony, Elevator",far,1,Viit 
02-06-2025,Pune,Backgate,3BHK,Apartment,4500,4000,Furnished,3,1,"Parking, Balcony, Security, Elevator",far,5,viit clg
02-06-2025,outside Pune,Backgate,2BHK,Apartment,3200,5000,Unfurnished,3,3,"Parking, Balcony",far,2,Royal medical 
02-02-2025,Pune,Backgate ,3BHK,Apartment,3000,5000,Unfurnished,3,3,"Parking, Balcony",Nearby,3,Kondhwa
02-02-2025,Pune,Kondhwa,1BHK,Hostels,5835/-,10000,Unfurnished,5,1,,far,3,"VU, VCACS, VIIT"
02-02-2025,Pune,Tilekar ,1BHK,Apartment,11000,22000,Unfurnished,4,3,"Parking, Balcony, Garden",Nearby,4,Iskon
02-02-2025,Pune,Sainagar,1BHK,Apartment,9500,20000,Furnished,5,5,"Parking, Balcony, Garden, Security, Elevator",Very Close,5,Iskcon 
02-02-2025,outside Pune,sainagar,2BHK,Hostels,17000,20000,Furnished,2,2,"Parking, Balcony, Security, Elevator",Very Close,3,mahabaleshwar
02-02-2025,Pune,Backgate,2BHK,Apartment,15500,30000,Furnished,5,5,"Parking, Gym, Balcony, Garden, Security, Elevator",Nearby,5,Katraj zoo
03-02-2025,Pune,Iskcon ,1BHK,Apartment,2500,4000,Furnished,2,2,"Parking, Balcony, Security",Nearby,3,Viit clg
02-02-2025,Pune,Sainagar ,1BHK,Apartment,10000,15000,Furnished,4,3,"Gym, Balcony, Security",Nearby,2,Teamo 
02-02-2025,outside Pune,Bibwewadi,2BHK,Hostels,4000,10000,Furnished,5,5,"Parking, Gym, Balcony, Garden",Very Close,5,Viit clg
02-02-2025,Pune,Bibwewadi,2BHK,Apartment,14000,15000,Unfurnished,3,3,"Parking, Balcony",Nearby,3,Vit
02-02-2025,Pune,Kondhwa,3BHK,Apartment,15000,20000,Furnished,4,5,"Balcony, Security, Elevator",Nearby,4,
02-02-2025,Pune,Lakshminagar,1BHK,Apartment,20000,25000,Unfurnished,1,1,Parking,Nearby,1,Hydrabad biryani
02-02-2025,Pune,Backgate ,1BHK,Hostels,5000,10000,Furnished,5,5,"Parking, Balcony, Garden, Security",Very Close,5,Masquid 
03-02-2025,Pune,Backgate,1BHK,Hostels,8000,5000,Furnished,3,3,,Nearby,3,Ws bakery 
03-02-2025,Pune,Pict,1BHK,Apartment,12000,15000,Furnished,3,4,"Parking, Balcony",Nearby,3,Pict college 
03-02-2025,Pune,Tilekarnagae,3BHK,Apartment,30000,60000,Furnished,5,5,"Parking, Gym, Balcony, Garden, Security, Elevator",Very Close,5,Swami Narayan temple 
02-02-2025,Pune,sainagar,2BHK,Apartment,23000,15000,Furnished,4,4,"Parking, Balcony",Very Close,4,iskon katraj
03-02-2025,Pune,Sainagar,2BHK,Row houses,6000,17000,Furnished,3,3,"Balcony, Garden, Elevator",Nearby,2,Teamo
03-02-2025,Pune,Tilekarnagar,2BHK,Apartment,6000,10000,Furnished,5,5,"Parking, Balcony, Garden, Security, Elevator",Very Close,5,3 jewels 
03-02-2025,Pune,Sukhsagarnagar ,1BHK,Apartment,10500,20000,Furnished,5,5,"Parking, Gym, Balcony, Garden, Security, Elevator",Nearby,5,Vit clg
03-02-2025,Pune,backgate,1RK,Apartment,12000,5000,Unfurnished,3,3,Parking,Nearby,4,viit
03-02-2025,Pune,Sai Nagar ,2BHK,Apartment,15000,20000,Furnished,4,4,,Nearby,4,Salve garden 
03-02-2025,Pune,kapil nagar,2BHK,Bungalows,30000,0,Furnished,5,5,"Parking, Balcony, Garden, Security, Elevator",Nearby,4,none
03-02-2025,Pune,Sainagar,1RK,Apartment,10000,10000,Furnished,5,3,"Parking, Balcony, Garden, Security, Elevator",far,2,Gokul Restaurant 
02-02-2025,Pune,sukhsagar,1BHK,Apartment,16000,15000,Unfurnished,1,3,,Nearby,3,None
04-02-2025,outside Pune,sainagar,1RK,Hostels,5000,0,Unfurnished,5,5,Security,Very Close,3,Viit
04-02-2025,Pune,Sukhsagarnagar,3BHK,Row houses,30000,60000,Furnished,3,5,"Parking, Balcony, Garden",far,5,Ambamata Mandir
04-02-2025,Pune,Katraj ,1BHK,Bungalows,20000,50000,Furnished,3,5,"Parking, Balcony, Garden",Very Close,5,Katraj diary 
04-02-2025,Pune,Backgate,3BHK,Apartment,20000,40000,Furnished,2,2,"Parking, Balcony, Elevator",far,1,Viit 
02-06-2025,Pune,Backgate,3BHK,Apartment,4500,4000,Furnished,3,1,"Parking, Balcony, Security, Elevator",far,5,viit clg
02-06-2025,outside Pune,Backgate,2BHK,Apartment,3200,5000,Unfurnished,3,3,"Parking, Balcony",far,2,Royal medical 
02-02-2025,Pune,Backgate ,3BHK,Apartment,3000,5000,Unfurnished,3,3,"Parking, Balcony",Nearby,3,Kondhwa
02-02-2025,Pune,Kondhwa,1BHK,Hostels,5835/-,10000,Unfurnished,5,1,,far,3,"VU, VCACS, VIIT"
02-02-2025,Pune,Tilekar ,1BHK,Apartment,11000,22000,Unfurnished,4,3,"Parking, Balcony, Garden",Nearby,4,Iskon
02-02-2025,Pune,Sainagar,1BHK,Apartment,9500,20000,Furnished,5,5,"Parking, Balcony, Garden, Security, Elevator",Very Close,5,Iskcon 
02-02-2025,outside Pune,sainagar,2BHK,Hostels,17000,20000,Furnished,2,2,"Parking, Balcony, Security, Elevator",Very Close,3,mahabaleshwar
02-02-2025,Pune,Backgate,2BHK,Apartment,15500,30000,Furnished,5,5,"Parking, Gym, Balcony, Garden, Security, Elevator",Nearby,5,Katraj zoo
03-02-2025,Pune,Iskcon ,1BHK,Apartment,2500,4000,Furnished,2,2,"Parking, Balcony, Security",Nearby,3,Viit clg
02-02-2025,Pune,Sainagar ,1BHK,Apartment,10000,15000,Furnished,4,3,"Gym, Balcony, Security",Nearby,2,Teamo 
02-02-2025,outside Pune,Bibwewadi,2BHK,Hostels,4000,10000,Furnished,5,5,"Parking, Gym, Balcony, Garden",Very Close,5,Viit clg
02-02-2025,Pune,Bibwewadi,2BHK,Apartment,14000,15000,Unfurnished,3,3,"Parking, Balcony",Nearby,3,Vit
02-02-2025,Pune,Kondhwa,3BHK,Apartment,15000,20000,Furnished,4,5,"Balcony, Security, Elevator",Nearby,4,
02-02-2025,Pune,Lakshminagar,1BHK,Apartment,20000,25000,Unfurnished,1,1,Parking,Nearby,1,Hydrabad biryani
02-02-2025,Pune,Backgate ,1BHK,Hostels,5000,10000,Furnished,5,5,"Parking, Balcony, Garden, Security",Very Close,5,Masquid 
03-02-2025,Pune,Backgate,1BHK,Hostels,8000,5000,Furnished,3,3,,Nearby,3,Ws bakery 
03-02-2025,Pune,Pict,1BHK,Apartment,12000,15000,Furnished,3,4,"Parking, Balcony",Nearby,3,Pict college 
03-02-2025,Pune,Tilekarnagae,3BHK,Apartment,30000,60000,Furnished,5,5,"Parking, Gym, Balcony, Garden, Security, Elevator",Very Close,5,Swami Narayan temple 
02-02-2025,Pune,sainagar,2BHK,Apartment,23000,15000,Furnished,4,4,"Parking, Balcony",Very Close,4,iskon katraj
03-02-2025,Pune,Sainagar,2BHK,Row houses,6000,17000,Furnished,3,3,"Balcony, Garden, Elevator",Nearby,2,Teamo
03-02-2025,Pune,Tilekarnagar,2BHK,Apartment,6000,10000,Furnished,5,5,"Parking, Balcony, Garden, Security, Elevator",Very Close,5,3 jewels 
03-02-2025,Pune,Sukhsagarnagar ,1BHK,Apartment,10500,20000,Furnished,5,5,"Parking, Gym, Balcony, Garden, Security, Elevator",Nearby,5,Vit clg
03-02-2025,Pune,backgate,1RK,Apartment,12000,5000,Unfurnished,3,3,Parking,Nearby,4,viit
03-02-2025,Pune,Sai Nagar ,2BHK,Apartment,15000,20000,Furnished,4,4,,Nearby,4,Salve garden 
03-02-2025,Pune,kapil nagar,2BHK,Bungalows,30000,0,Furnished,5,5,"Parking, Balcony, Garden, Security, Elevator",Nearby,4,none
03-02-2025,Pune,Sainagar,1RK,Apartment,10000,10000,Furnished,5,3,"Parking, Balcony, Garden, Security, Elevator",far,2,Gokul Restaurant 
02-02-2025,Pune,sukhsagar,1BHK,Apartment,16000,15000,Unfurnished,1,3,,Nearby,3,None
04-02-2025,outside Pune,sainagar,1RK,Hostels,5000,0,Unfurnished,5,5,Security,Very Close,3,Viit
04-02-2025,Pune,Sukhsagarnagar,3BHK,Row houses,30000,60000,Furnished,3,5,"Parking, Balcony, Garden",far,5,Ambamata Mandir
04-02-2025,Pune,Katraj ,1BHK,Bungalows,20000,50000,Furnished,3,5,"Parking, Balcony, Garden",Very Close,5,Katraj diary 
04-02-2025,Pune,Backgate,3BHK,Apartment,20000,40000,Furnished,2,2,"Parking, Balcony, Elevator",far,1,Viit 
02-06-2025,Pune,Backgate,3BHK,Apartment,4500,4000,Furnished,3,1,"Parking, Balcony, Security, Elevator",far,5,viit clg
02-06-2025,outside Pune,Backgate,2BHK,Apartment,3200,5000,Unfurnished,3,3,"Parking, Balcony",far,2,Royal medical 
02-02-2025,Pune,Backgate ,3BHK,Apartment,3000,5000,Unfurnished,3,3,"Parking, Balcony",Nearby,3,Kondhwa
02-02-2025,Pune,Kondhwa,1BHK,Hostels,5835/-,10000,Unfurnished,5,1,,far,3,"VU, VCACS, VIIT"
02-02-2025,Pune,Tilekar ,1BHK,Apartment,11000,22000,Unfurnished,4,3,"Parking, Balcony, Garden",Nearby,4,Iskon
02-02-2025,Pune,Sainagar,1BHK,Apartment,9500,20000,Furnished,5,5,"Parking, Balcony, Garden, Security, Elevator",Very Close,5,Iskcon 
02-02-2025,outside Pune,sainagar,2BHK,Hostels,17000,20000,Furnished,2,2,"Parking, Balcony, Security, Elevator",Very Close,3,mahabaleshwar
02-02-2025,Pune,Backgate,2BHK,Apartment,15500,30000,Furnished,5,5,"Parking, Gym, Balcony, Garden, Security, Elevator",Nearby,5,Katraj zoo
03-02-2025,Pune,Iskcon ,1BHK,Apartment,2500,4000,Furnished,2,2,"Parking, Balcony, Security",Nearby,3,Viit clg
02-02-2025,Pune,Sainagar ,1BHK,Apartment,10000,15000,Furnished,4,3,"Gym, Balcony, Security",Nearby,2,Teamo 
02-02-2025,outside Pune,Bibwewadi,2BHK,Hostels,4000,10000,Furnished,5,5,"Parking, Gym, Balcony, Garden",Very Close,5,Viit clg
02-02-2025,Pune,Bibwewadi,2BHK,Apartment,14000,15000,Unfurnished,3,3,"Parking, Balcony",Nearby,3,Vit
02-02-2025,Pune,Kondhwa,3BHK,Apartment,15000,20000,Furnished,4,5,"Balcony, Security, Elevator",Nearby,4,
02-02-2025,Pune,Lakshminagar,1BHK,Apartment,20000,25000,Unfurnished,1,1,Parking,Nearby,1,Hydrabad biryani
02-02-2025,Pune,Backgate ,1BHK,Hostels,5000,10000,Furnished,5,5,"Parking, Balcony, Garden, Security",Very Close,5,Masquid 
03-02-2025,Pune,Backgate,1BHK,Hostels,8000,5000,Furnished,3,3,,Nearby,3,Ws bakery 
03-02-2025,Pune,Pict,1BHK,Apartment,12000,15000,Furnished,3,4,"Parking, Balcony",Nearby,3,Pict college 
03-02-2025,Pune,Tilekarnagae,3BHK,Apartment,30000,60000,Furnished,5,5,"Parking, Gym, Balcony, Garden, Security, Elevator",Very Close,5,Swami Narayan temple 
02-02-2025,Pune,sainagar,2BHK,Apartment,23000,15000,Furnished,4,4,"Parking, Balcony",Very Close,4,iskon katraj
03-02-2025,Pune,Sainagar,2BHK,Row houses,6000,17000,Furnished,3,3,"Balcony, Garden, Elevator",Nearby,2,Teamo
03-02-2025,Pune,Tilekarnagar,2BHK,Apartment,6000,10000,Furnished,5,5,"Parking, Balcony, Garden, Security, Elevator",Very Close,5,3 jewels 
03-02-2025,Pune,Sukhsagarnagar ,1BHK,Apartment,10500,20000,Furnished,5,5,"Parking, Gym, Balcony, Garden, Security, Elevator",Nearby,5,Vit clg
03-02-2025,Pune,backgate,1RK,Apartment,12000,5000,Unfurnished,3,3,Parking,Nearby,4,viit
03-02-2025,Pune,Sai Nagar ,2BHK,Apartment,15000,20000,Furnished,4,4,,Nearby,4,Salve garden 
03-02-2025,Pune,kapil nagar,2BHK,Bungalows,30000,0,Furnished,5,5,"Parking, Balcony, Garden, Security, Elevator",Nearby,4,none
03-02-2025,Pune,Sainagar,1RK,Apartment,10000,10000,Furnished,5,3,"Parking, Balcony, Garden, Security, Elevator",far,2,Gokul Restaurant 
02-02-2025,Pune,sukhsagar,1BHK,Apartment,16000,15000,Unfurnished,1,3,,Nearby,3,None
04-02-2025,outside Pune,sainagar,1RK,Hostels,5000,0,Unfurnished,5,5,Security,Very Close,3,Viit
04-02-2025,Pune,Sukhsagarnagar,3BHK,Row houses,30000,60000,Furnished,3,5,"Parking, Balcony, Garden",far,5,Ambamata Mandir
04-02-2025,Pune,Katraj ,1BHK,Bungalows,20000,50000,Furnished,3,5,"Parking, Balcony, Garden",Very Close,5,Katraj diary 
04-02-2025,Pune,Backgate,3BHK,Apartment,20000,40000,Furnished,2,2,"Parking, Balcony, Elevator",far,1,Viit 
02-06-2025,Pune,Backgate,3BHK,Apartment,4500,4000,Furnished,3,1,"Parking, Balcony, Security, Elevator",far,5,viit clg
02-06-2025,outside Pune,Backgate,2BHK,Apartment,3200,5000,Unfurnished,3,3,"Parking, Balcony",far,2,Royal medical 
02-02-2025,Pune,Backgate ,3BHK,Apartment,3000,5000,Unfurnished,3,3,"Parking, Balcony",Nearby,3,Kondhwa
02-02-2025,Pune,Kondhwa,1BHK,Hostels,5835/-,10000,Unfurnished,5,1,,far,3,"VU, VCACS, VIIT"
02-02-2025,Pune,Tilekar ,1BHK,Apartment,11000,22000,Unfurnished,4,3,"Parking, Balcony, Garden",Nearby,4,Iskon
02-02-2025,Pune,Sainagar,1BHK,Apartment,9500,20000,Furnished,5,5,"Parking, Balcony, Garden, Security, Elevator",Very Close,5,Iskcon 
02-02-2025,outside Pune,sainagar,2BHK,Hostels,17000,20000,Furnished,2,2,"Parking, Balcony, Security, Elevator",Very Close,3,mahabaleshwar
02-02-2025,Pune,Backgate,2BHK,Apartment,15500,30000,Furnished,5,5,"Parking, Gym, Balcony, Garden, Security, Elevator",Nearby,5,Katraj zoo
03-02-2025,Pune,Iskcon ,1BHK,Apartment,2500,4000,Furnished,2,2,"Parking, Balcony, Security",Nearby,3,Viit clg
02-02-2025,Pune,Sainagar ,1BHK,Apartment,10000,15000,Furnished,4,3,"Gym, Balcony, Security",Nearby,2,Teamo 
02-02-2025,outside Pune,Bibwewadi,2BHK,Hostels,4000,10000,Furnished,5,5,"Parking, Gym, Balcony, Garden",Very Close,5,Viit clg
02-02-2025,Pune,Bibwewadi,2BHK,Apartment,14000,15000,Unfurnished,3,3,"Parking, Balcony",Nearby,3,Vit
02-02-2025,Pune,Kondhwa,3BHK,Apartment,15000,20000,Furnished,4,5,"Balcony, Security, Elevator",Nearby,4,
02-02-2025,Pune,Lakshminagar,1BHK,Apartment,20000,25000,Unfurnished,1,1,Parking,Nearby,1,Hydrabad biryani
02-02-2025,Pune,Backgate ,1BHK,Hostels,5000,10000,Furnished,5,5,"Parking, Balcony, Garden, Security",Very Close,5,Masquid 
03-02-2025,Pune,Backgate,1BHK,Hostels,8000,5000,Furnished,3,3,,Nearby,3,Ws bakery 
03-02-2025,Pune,Pict,1BHK,Apartment,12000,15000,Furnished,3,4,"Parking, Balcony",Nearby,3,Pict college 
03-02-2025,Pune,Tilekarnagae,3BHK,Apartment,30000,60000,Furnished,5,5,"Parking, Gym, Balcony, Garden, Security, Elevator",Very Close,5,Swami Narayan temple 
02-02-2025,Pune,sainagar,2BHK,Apartment,23000,15000,Furnished,4,4,"Parking, Balcony",Very Close,4,iskon katraj
03-02-2025,Pune,Sainagar,2BHK,Row houses,6000,17000,Furnished,3,3,"Balcony, Garden, Elevator",Nearby,2,Teamo
03-02-2025,Pune,Tilekarnagar,2BHK,Apartment,6000,10000,Furnished,5,5,"Parking, Balcony, Garden, Security, Elevator",Very Close,5,3 jewels 
03-02-2025,Pune,Sukhsagarnagar ,1BHK,Apartment,10500,20000,Furnished,5,5,"Parking, Gym, Balcony, Garden, Security, Elevator",Nearby,5,Vit clg
03-02-2025,Pune,backgate,1RK,Apartment,12000,5000,Unfurnished,3,3,Parking,Nearby,4,viit
03-02-2025,Pune,Sai Nagar ,2BHK,Apartment,15000,20000,Furnished,4,4,,Nearby,4,Salve garden 
03-02-2025,Pune,kapil nagar,2BHK,Bungalows,30000,0,Furnished,5,5,"Parking, Balcony, Garden, Security, Elevator",Nearby,4,none
03-02-2025,Pune,Sainagar,1RK,Apartment,10000,10000,Furnished,5,3,"Parking, Balcony, Garden, Security, Elevator",far,2,Gokul Restaurant 
02-02-2025,Pune,sukhsagar,1BHK,Apartment,16000,15000,Unfurnished,1,3,,Nearby,3,None
04-02-2025,outside Pune,sainagar,1RK,Hostels,5000,0,Unfurnished,5,5,Security,Very Close,3,Viit
04-02-2025,Pune,Sukhsagarnagar,3BHK,Row houses,30000,60000,Furnished,3,5,"Parking, Balcony, Garden",far,5,Ambamata Mandir
04-02-2025,Pune,Katraj ,1BHK,Bungalows,20000,50000,Furnished,3,5,"Parking, Balcony, Garden",Very Close,5,Katraj diary 
04-02-2025,Pune,Backgate,3BHK,Apartment,20000,40000,Furnished,2,2,"Parking, Balcony, Elevator",far,1,Viit 
02-06-2025,Pune,Backgate,3BHK,Apartment,4500,4000,Furnished,3,1,"Parking, Balcony, Security, Elevator",far,5,viit clg
02-06-2025,outside Pune,Backgate,2BHK,Apartment,3200,5000,Unfurnished,3,3,"Parking, Balcony",far,2,Royal medical 
02-02-2025,Pune,Backgate ,3BHK,Apartment,3000,5000,Unfurnished,3,3,"Parking, Balcony",Nearby,3,Kondhwa
02-02-2025,Pune,Kondhwa,1BHK,Hostels,5835/-,10000,Unfurnished,5,1,,far,3,"VU, VCACS, VIIT"
02-02-2025,Pune,Tilekar ,1BHK,Apartment,11000,22000,Unfurnished,4,3,"Parking, Balcony, Garden",Nearby,4,Iskon
02-02-2025,Pune,Sainagar,1BHK,Apartment,9500,20000,Furnished,5,5,"Parking, Balcony, Garden, Security, Elevator",Very Close,5,Iskcon 
02-02-2025,outside Pune,sainagar,2BHK,Hostels,17000,20000,Furnished,2,2,"Parking, Balcony, Security, Elevator",Very Close,3,mahabaleshwar
02-02-2025,Pune,Backgate,2BHK,Apartment,15500,30000,Furnished,5,5,"Parking, Gym, Balcony, Garden, Security, Elevator",Nearby,5,Katraj zoo
03-02-2025,Pune,Iskcon ,1BHK,Apartment,2500,4000,Furnished,2,2,"Parking, Balcony, Security",Nearby,3,Viit clg
02-02-2025,Pune,Sainagar ,1BHK,Apartment,10000,15000,Furnished,4,3,"Gym, Balcony, Security",Nearby,2,Teamo 
02-02-2025,outside Pune,Bibwewadi,2BHK,Hostels,4000,10000,Furnished,5,5,"Parking, Gym, Balcony, Garden",Very Close,5,Viit clg
02-02-2025,Pune,Bibwewadi,2BHK,Apartment,14000,15000,Unfurnished,3,3,"Parking, Balcony",Nearby,3,Vit
02-02-2025,Pune,Kondhwa,3BHK,Apartment,15000,20000,Furnished,4,5,"Balcony, Security, Elevator",Nearby,4,
02-02-2025,Pune,Lakshminagar,1BHK,Apartment,20000,25000,Unfurnished,1,1,Parking,Nearby,1,Hydrabad biryani
02-02-2025,Pune,Backgate ,1BHK,Hostels,5000,10000,Furnished,5,5,"Parking, Balcony, Garden, Security",Very Close,5,Masquid 
03-02-2025,Pune,Backgate,1BHK,Hostels,8000,5000,Furnished,3,3,,Nearby,3,Ws bakery 
03-02-2025,Pune,Pict,1BHK,Apartment,12000,15000,Furnished,3,4,"Parking, Balcony",Nearby,3,Pict college 
03-02-2025,Pune,Tilekarnagae,3BHK,Apartment,30000,60000,Furnished,5,5,"Parking, Gym, Balcony, Garden, Security, Elevator",Very Close,5,Swami Narayan temple 
